id,name,feature,lat,lon,nearest_node
0,a,,35.567461,139.574183,2187246866.000000
1,a,,35.568873,139.571154,1303151563.000000
2,a,,35.555059,139.576396,6452126453.000000
3,a,,35.565762,139.568412,4070953803.000000
4,a,,35.554574,139.576623,1617305650.000000
5,a,,35.563378,139.581754,1303243719.000000
6,a,,35.571434,139.586895,4019720180.000000
7,a,,35.556103,139.578219,10721114713.000000
8,a,,35.566980,139.585007,2187246679.000000
9,a,,35.563793,139.577927,4070880057.000000
10,a,,35.570580,139.572284,2267294373.000000
11,a,,35.566720,139.565901,7366584618.000000
12,a,,35.563655,139.581121,7369033980.000000
13,a,,35.563755,139.565689,2139661796.000000
14,a,,35.561635,139.570536,6437962868.000000
15,a,,35.570727,139.568676,908108431.000000
16,a,,35.566644,139.568406,7366852211.000000
17,a,,35.571160,139.569800,2267232120.000000
18,a,,35.556536,139.566745,1484203446.000000
19,a,,35.571080,139.585378,9269014826.000000
20,a,,35.555055,139.574180,6452247829.000000
21,a,,35.565519,139.585562,7369033916.000000
22,a,,35.558177,139.581996,1728170124.000000
23,a,,35.568399,139.580803,1303150656.000000
24,a,,35.565976,139.575144,2267294286.000000
25,a,,35.569229,139.567534,908108559.000000
26,a,,35.569490,139.571888,2267232000.000000
27,a,,35.568297,139.572457,1303149975.000000
28,a,,35.555924,139.573471,1303246453.000000
29,a,,35.553777,139.568843,10732733201.000000
30,a,,35.567656,139.566549,7924959750.000000
31,a,,35.553850,139.572399,1303246004.000000
32,a,,35.562209,139.573457,2574341575.000000
33,a,,35.571459,139.576484,1302821664.000000
34,a,,35.555028,139.574830,5587339789.000000
35,a,,35.553382,139.566022,2268334585.000000
36,a,,35.569033,139.572377,1303150950.000000
37,a,,35.554644,139.588120,461629500.000000
38,a,,35.556598,139.570908,2136811388.000000
39,a,,35.561779,139.573226,1303246369.000000
40,a,,35.561910,139.565544,6534663635.000000
41,a,,35.563735,139.566712,1303245847.000000
42,a,,35.563974,139.585992,1303244135.000000
43,a,,35.557131,139.587421,2261866802.000000
44,a,,35.565806,139.565575,6438955492.000000
45,a,,35.553880,139.568463,10732733201.000000
46,a,,35.556086,139.586961,7099852097.000000
47,a,,35.556885,139.574199,2268370400.000000
48,a,,35.555412,139.567677,2134826851.000000
49,a,,35.553194,139.566750,2268334585.000000
50,a,,35.559421,139.573756,1303244500.000000
51,a,,35.564746,139.575120,2267294215.000000
52,a,,35.553737,139.574595,2039371183.000000
53,a,,35.564307,139.585748,6394962485.000000
54,a,,35.561780,139.577341,1303246008.000000
55,a,,35.557083,139.575692,6452250094.000000
56,a,,35.565629,139.567580,6447149348.000000
57,a,,35.561247,139.575513,7369027663.000000
58,a,,35.558557,139.580950,7099852050.000000
59,a,,35.564666,139.569379,1303243388.000000
60,a,,35.569420,139.582479,1302822609.000000
61,a,,35.563035,139.574012,1303246028.000000
62,a,,35.564148,139.569184,10742965994.000000
63,a,,35.570736,139.567643,908108715.000000
64,a,,35.566692,139.572735,2267231889.000000
65,a,,35.560813,139.587882,2261867041.000000
66,a,,35.569884,139.568587,908108509.000000
67,a,,35.560185,139.578717,7369033981.000000
68,a,,35.559974,139.582081,3730545050.000000
69,a,,35.558892,139.578320,7099852153.000000
70,a,,35.560087,139.566053,2039387112.000000
71,a,,35.571078,139.577862,1302822154.000000
72,a,,35.569963,139.567760,2267312392.000000
73,a,,35.562333,139.574809,1984399490.000000
74,a,,35.567649,139.577810,2187246882.000000
75,a,,35.562483,139.582752,1303243821.000000
76,a,,35.562067,139.578905,4070941418.000000
77,a,,35.566842,139.575771,1303151393.000000
78,a,,35.564547,139.573509,2267294203.000000
79,a,,35.563639,139.583947,7369033919.000000
80,a,,35.561270,139.585441,1303245475.000000
81,a,,35.569602,139.577072,9269278333.000000
82,a,,35.559266,139.573625,1303244500.000000
83,a,,35.565044,139.580502,7369034021.000000
84,a,,35.564737,139.571223,1303244266.000000
85,a,,35.563817,139.569259,1303246079.000000
86,a,,35.566361,139.579223,2187246598.000000
87,a,,35.560667,139.584316,1303244705.000000
88,a,,35.568323,139.573194,7366852177.000000
89,a,,35.554191,139.571750,8796851739.000000
90,a,,35.559740,139.584124,1303244668.000000
91,a,,35.555289,139.570499,1303243643.000000
92,a,,35.558226,139.575637,4070941405.000000
93,a,,35.556133,139.567577,2134826851.000000
